번호,병원_약국명,전화번호,소재지주소
41,으뜸병원,063-220-3300,전라북도 전주시 완산구 모악로 4678  (평화동2가)
42,의료법인 관주의료재단 정다운병원,063-460-3000,전라북도 군산시 대학로 236 (나운동)
43,의료법인 동인재단 동부병원,063-433-2991,전라북도 진안군 진안읍 마이산로 90-16 (진안읍)
44,의료법인 명지원의료재단 김제중앙병원,063-540-9900,전라북도 김제시 동서로 77  (교동)
45,의료법인 모세의료재단 모세병원,063-460-9005,전라북도 군산시 문화로 47 (수송동)
46,의료법인 유진의료재단 바른몸병원,063-453-8275,전라북도 군산시 백릉로 34 (조촌동)
47,의료법인 이루의료재단 임실병원,063-640-8888,전라북도 임실군 임실읍 운수로 15 ()
48,의료법인 일암의료재단 고려병원,063-290-0114,전라북도 완주군 삼례읍 동학로 21 21
49,의료법인 평화의료재단 군산성신병원,063-441-3300,전라북도 군산시 백토로 33-0  (문화동)
50,의료법인 평화의료재단 정읍성신병원,063-530-7100,전라북도 정읍시 충정로 344-5  (연지동)
51,의료법인 힐튼의료재단 솔병원,063-581-3800,전라북도 부안군 부안읍 석정로 170 ()
52,의료법인성은의료재단참조은병원,063-538-9730,전라북도 정읍시 새암길 29-11 (수성동)
53,의료법인성하의료재단 누가병원,063-450-0900,전라북도 군산시 백릉로 70 (조촌동)
54,의료법인영경의료재단호성전주병원,063-240-8800,전라북도 전주시 덕진구 동부대로 895 6층 (호성동1가)
55,의료법인완주의료재단한마음화산병원,063-260-1300,전라북도 완주군 화산면 운제로 100 (한마음화산병원)
56,의료법인의인의료재단차병원,063-460-3305,전라북도 군산시 수송로 8 (나운동)
57,의료법인지석의료재단 효병원,063-545-8100,전라북도 김제시 금산면 구성5길 84-15 ()
58,의료법인혜성병원,063-583-5001,전라북도 부안군 부안읍 부령로 33 ()
59,익산제일병원,063-840-2300,전라북도 익산시 평동로 665  (인화동1가)
60,익산희망병원,063-851-5600,전라북도 익산시 중앙로1길 35 (창인동1가)
61,재단법인 원불교 원병원,063-843-3582,전라북도 익산시 익산대로25길 18  (신동)
62,전라북도 마음사랑병원,063-240-2100,전라북도 완주군 소양면 소양로 465-23 ()
63,전주21세기병원,063-270-5200,전라북도 전주시 덕진구 송천중앙로 43 (덕진동2가)
64,전주기독병원,063-220-7000,"전라북도 전주시 완산구 거마평로 185 (효자동1가,398-5)"
65,전주다솔아동병원,063-280-0800,전라북도 전주시 완산구 우전로 250 (효자동2가)
66,전주문병원,063-286-0000,"전라북도 전주시 완산구 용머리로 106-0  0동 (효자동1가,전주문병원)"
67,전주샘물아동병원,063-230-7211,"전라북도 전주시 완산구 세내로 285-0  1동 5층 (효자동3가,샘물아동병원)"
68,전주시티병원,063-239-0114,전라북도 전주시 완산구 세내로 277 (효자동3가)
69,전주신세계정형외과병원,063-270-1900,전라북도 전주시 덕진구 송천중앙로 125 (송천동1가)
70,전주열린병원,063-710-0114,전라북도 전주시 완산구 기린대로 227 (서노송동)
71,전주우리들병원,063-715-3700,전라북도 전주시 완산구 쑥고개로 398-16 (효자동2가)
72,전주우리병원,063-710-3114,"전라북도 전주시 완산구 백제대로 140 4,5층 (효자동1가, 효자메디컬프라자)"
73,전주우석병원,063-220-8300,전라북도 전주시 완산구 어은로 46 (중화산동2가)
74,전주항병원,063-228-6002,전라북도 전주시 완산구 안행8길 56-7 (삼천동1가)
75,정읍박병원,063-533-7800,전라북도 정읍시 충정로 324-1 (연지동)
76,정읍사랑병원,063-530-3100,전라북도 정읍시 상동중앙로 94  (상동)
77,진안군의료원,063-430-7000,전라북도 진안군 진안읍 진무로 1145 ()
78,참병원,063-220-0600,전라북도 전주시 완산구 백제대로 114 (효자동1가)
79,키즈드림아이엠씨병원,063-711-2300,전라북도 완주군 이서면 갈산로 46-0 ()
80,하나성심병원,063-582-7119,전라북도 부안군 부안읍 낭주길 3-0  1동 1층 1호 (하나성심병원)
81,한나여성병원,063-250-3500,전라북도 전주시 덕진구 기린대로 489  (덕진동1가)
82,한양병원,063-220-5000,전라북도 전주시 완산구 장승배기로 204 (평화동1가)
83,함열중앙병원,063-861-2700,전라북도 익산시 함열읍 함열1길 29 ()
84,허병원,063-254-5599,전라북도 전주시 덕진구 조경단로 103 (금암동)
85,희망병원,063-540-8855,전라북도 김제시 금구면 낙산1길 74-1 ()
86,희망병원,063-652-2611,전라북도 순창군 순창읍 장류로 347 347
87,(의) 예림의료재단 김제요양병원,063-540-8500,전라북도 김제시 남북로 202 (요촌동)
88,(학교법인 경암학원)봉정요양병원,063-450-3939,전라북도 군산시 쌍천로 82-3 (개정동)
89,군산제일요양병원,063-468-0372,전라북도 군산시 대학로 183  (문화동)
90,나은요양병원,063-715-2300,전라북도 전주시 덕진구 기린대로 951-0  (여의동)
91,남원효사랑요양병원,063-635-8880,전라북도 남원시 옥정4길 7 (향교동)
92,늘푸른요양병원,063-247-0301,전라북도 전주시 덕진구 진버들7길 33 (우아동2가)
93,더숲요양병원,063-230-2000,전라북도 전주시 완산구 흑석2길 22 (서서학동)
94,만인요양병원,063-273-0075,전라북도 전주시 덕진구 발단길 5 (송천동2가)
95,메디하우스요양병원,063-854-8875,전라북도 익산시 인북로4길 59 (인화동2가)
96,미래요양병원,063-540-8899,전라북도 김제시 금구면 낙산1길 72 ()
97,벧엘요양병원,063-255-5321,전라북도 전주시 덕진구 조경단로 77 (금암동)
98,벧엘요양병원,063-231-8811,전라북도 완주군 상관면 왜목로 700 ()
99,부안군노인요양병원,063-581-9116,전라북도 부안군 부안읍 봉두길 68 ()
100,부안효요양병원,063-580-7100,전라북도 부안군 행안면 염소로 25 25
101,사랑요양병원,063-230-1202,전라북도 전주시 완산구 덕적골1길 69  (평화동1가)
102,사회복지법인 성바오로애덕원 성바오로복지병원,063-249-3305,전라북도 완주군 소양면 해월신왕길 65 ()
103,새희망요양병원,063-911-0020,전라북도 군산시 옥구읍 옥구남로 152-0  1동 (희망요양병원)
104,샘고을요양병원,063-700-7000,전라북도 정읍시 정읍북로 42-3 (구룡동)
105,성모요양병원,063-270-5003,전라북도 전주시 덕진구 가리내로 118  (덕진동1가)
106,수요양병원,063-723-2500,전라북도 익산시 중앙로1길 23-0  (창인동1가)
107,순창요양병원,063-650-8000,전라북도 순창군 순창읍 순창로 105 ()
108,실로암병원,063-261-7080,전라북도 완주군 용진읍 완주로 806-6 ()
109,실로암사랑요양병원,063-830-6000,전라북도 익산시 선화로 389 (영등동)
110,아중요양병원,063-714-8888,전라북도 전주시 덕진구 아중로 223-0 (우아동2가)
111,엔젤의료재단 엔젤요양병원,063-860-0114,전라북도 익산시 함열읍 익산대로 1493-1 ()
112,연세요양병원,063-840-8001,전라북도 익산시 익산대로22길 52 (남중동)
113,연수요양병원,063-220-9311,전라북도 전주시 완산구 쑥고개옛길 118 (삼천동3가)
114,예송요양병원,063-250-9100,전라북도 전주시 덕진구 전주천서로 337  (진북동)
115,완주군아름다운노인전문병원,063-717-3303,전라북도 완주군 상관면 북치길 44-54 (상관면)
116,완주요양병원,063-260-8300,전라북도 완주군 봉동읍 둔산3로 31-5 ()
117,우리노인전문병원,063-210-3600,전라북도 전주시 덕진구 정여립로 978 (만성동)
118,우리들사랑요양병원,063-711-1300,"전라북도 전주시 완산구 우전로 241-0  0호 (효자동2가,우리들사랑요양병원)"
119,우석노인요양병원,063-843-0119,전라북도 익산시 목천로 120 (목천동)
120,유정요양병원,063-561-3355,전라북도 고창군 고창읍 보릿골로 8 ()
121,은빛사랑요양병원,063-224-9200,전라북도 완주군 구이면 항가신기길 8-11 8
122,은파요양병원,063-463-8888,전라북도 군산시 대학로 375-0  (나운동)
123,의료법인 구암의료재단 군산요양병원,063-460-3400,전라북도 군산시 하나운3길 18 (나운동)
124,의료법인 디딤의료재단 우리요양병원,063-714-3838,전라북도 전주시 덕진구 안덕원로 291 (인후동1가)
125,의료법인 백상의료재단 가족사랑요양병원,063-540-1500,전라북도 김제시 하동1길 13 (하동)
126,의료법인 성곡의료재단 군산효자요양병원,063-472-8300,전라북도 군산시 청소년회관로 45 (송풍동)
127,의료법인 옥성의료재단 골든카운티 요양병원,063-221-7676,전라북도 전주시 완산구 중인1길 136-20 (중인동)
128,의료법인 원광의료재단 군산원광효도요양병원,063-450-0700,전라북도 군산시 조촌4길 11  (조촌동)
129,의료법인 원광의료재단 익산원광효도요양병원,063-850-9900,전라북도 익산시 익산대로33길 69 (신용동)
130,의료법인 한빛의료재단 행복한노인요양병원,063-464-7171,전라북도 군산시 옥구읍 수산길 71-21 ()
131,의료법인 효성의료재단 새전주요양병원,063-213-8275,전라북도 전주시 덕진구 여암1길 37 (여의동)
132,의료법인 효일의료재단 나눔요양병원,063-276-7000,전라북도 전주시 완산구 선너머2길 4 (중화산동1가)
133,의료법인건강나라의료재단 건강나라요양병원,063-225-0880,전라북도 전주시 완산구 맏내로 114 (평화동2가)
134,의료법인계산재단문실버요양병원,063-282-8833,전라북도 전주시 완산구 충경로 91 (경원동3가)
135,의료법인성노복지의료재단효자요양병원,063-561-0841,전라북도 고창군 무장면 감덕길 19 19
136,의료법인원산의료재단 다사랑요양병원,063-630-1500,"전라북도 남원시 산곡길 55 (산곡동, 다사랑요양병원)"
137,의료법인정익재단 메디케어요양병원,063-561-6550,전라북도 고창군 성내면 이재로 81-9 81
138,익산미소요양병원,063-854-7000,전라북도 익산시 선화로22길 52-9  (마동)
139,인암요양병원,063-560-6400,전라북도 고창군 고창읍 천변북로 91 (고창읍)
140,임실중앙요양병원,063-644-1101,전라북도 임실군 임실읍 봉황로 71 ()
141,재단법인 천주교 전주교구 유지재단 익산성모병원,063-841-0714,전라북도 익산시 동서로 309  (영등동)
142,전라북도 고창노인요양병원,063-560-6100,전라북도 고창군 고창읍 고인돌대로 1765 ()
143,전라북도 남원노인요양병원,063-630-7792,전라북도 남원시 산성길 51-15 (산곡동)
144,전주 정드림요양병원,063-276-7122,전라북도 전주시 덕진구 솔내로 148 (송천동1가)
145,전주늘사랑요양병원,063-224-0081,전라북도 전주시 완산구 용리로 60 (삼천동1가)
146,전주선요양병원,063-278-8008,전라북도 전주시 완산구 노송여울2길 134-0  (서노송동)
147,전주시노인복지병원,063-220-9700,전라북도 전주시 완산구 능안자구길 80 (삼천동3가)
148,정다운요양병원,063-530-1000,전라북도 정읍시 관통로 27 (시기동)
149,정읍사랑요양병원,063-530-5100,전라북도 정읍시 상동중앙로 94  (상동)
150,정읍시립요양병원,063-531-0075,전라북도 정읍시 금붕1길 160-15 (금붕동)
151,중앙요양병원,063-250-6100,전라북도 전주시 덕진구 가리내로 23 (금암동)
152,참사랑요양병원,063-730-1000,전라북도 군산시 조촌로 21 (조촌동)
153,포도나무요양병원,063-241-6700,전라북도 전주시 덕진구 백제대로 822  (우아동3가)
154,학산요양병원,063-230-2900,전라북도 전주시 완산구 덕적골3길 55  (평화동1가)
155,한국노인요양병원,063-252-3723,전라북도 전주시 덕진구 백제대로 587 (금암동)
156,한길요양병원,063-260-9900,전라북도 완주군 봉동읍 낙평장기로 43 ()
157,한마음요양병원,063-220-1111,전라북도 전주시 완산구 백제대로 234 (중화산동2가)
158,한빛요양병원,063-625-8996,전라북도 남원시 향단로 28 28
159,한빛의료소비자생활협동조합 마음편한요양병원,063-714-2500,전라북도 전주시 덕진구 쪽구름로 87-1 (반월동)
160,한빛의료소비자생활협동조합 행복나라요양병원,063-211-2277,전라북도 전주시 덕진구 번영로 462 (반월동)
161,한사랑요양병원,063-231-4800,전라북도 전주시 완산구 용머리로 251 (서완산동2가)
162,한서요양병원,063-570-7000,전라북도 정읍시 월천안길 14 (하모동)
163,한솔요양병원,063-228-1122,전라북도 전주시 완산구 장승배기로 46 (삼천동1가)
164,한양요양병원,063-853-8276,전라북도 익산시 고현로4길 3 (모현동1가)
165,해맑은요양병원,063-231-1100,전라북도 전주시 완산구 팔달로 202-15  (경원동3가)
166,해피하우스요양병원,063-853-8275,전라북도 익산시 익산대로 249 (남중동)
167,행복한요양병원,063-240-7000,전라북도 전주시 덕진구 백제대로 700 새백제병원
168,효드림요양병원,063-547-5000,전라북도 김제시 화동길 135  (신풍동)
169,효사랑가족요양병원,063-711-1111,전라북도 전주시 완산구 용머리로 77 (효자동1가)
170,효사랑전주요양병원,063-278-8288,전라북도 전주시 완산구 팔달로 272 (서노송동)
171,(의)혜민의료재단 우리한방병원,063-545-5511,전라북도 김제시 중앙로 209 (신풍동)
172,가람한방병원,063-270-8600,전라북도 전주시 덕진구 송천로 1 (송천동1가)
173,기도하는한방병원,063-770-7300,전라북도 김제시 중앙로 51-18 (서암동)
174,노블한방병원,063-452-1075,전라북도 군산시 문화로 77  (수송동)
175,누가한방병원,063-252-9111,전라북도 전주시 덕진구 안덕원로 208 (인후동1가)
176,다생한방병원,063-714-2000,"전라북도 전주시 덕진구 벚꽃로 48-0  0동 (진북동,참조은병원)"
177,덕진한방병원,063-225-1075,전라북도 전주시 덕진구 솔내로 131  (송천동1가)
178,동의한방병원,063-274-8575,전라북도 전주시 덕진구 백제대로 625  (금암동)
179,마디한방병원,063-837-0010,전라북도 익산시 고봉로 275-5 (영등동)
180,명인한방병원,063-714-4848,전라북도 전주시 완산구 용리로 42 (삼천동1가)
181,모현한방병원,063-721-1111,전라북도 익산시 고현로 57 (모현동1가)
182,솔한방병원,063-714-2200,전라북도 전주시 완산구 팔달로 7  (서서학동)
183,수람한방병원,063-714-4001,전라북도 전주시 완산구 장승배기로 200 (평화동1가)
184,수송한방병원,063-731-1075,"전라북도 군산시 문화로 121-0 2층 (수송동,수송한방병원)"
185,영등한방병원,063-841-1075,전라북도 익산시 동서로 354 (영등동)
186,우리들한방병원,063-278-2200,전라북도 전주시 덕진구 백제대로 670-0  (금암동)
187,우석대부속전주한방병원,063-220-8300,전라북도 전주시 완산구 어은로 46 (중화산동2가)
188,원광대학교한의과대학부속전주한방병원,063-270-1114,전라북도 전주시 덕진구 가련산로 99  (덕진동2가)
189,원광대학교한의과대학익산한방병원,063-859-2849,전라북도 익산시 무왕로 895 (신동)
190,의료법인 지리산의료재단 어의당한방병원,063-900-5555,전라북도 전주시 완산구 전주객사1길 22 (다가동3가)
191,의료법인 한국필의료재단 북면필한방병원,063-538-0321,전라북도 정읍시 북면 정읍북로 508 (북면)
192,일이삼한방병원,063-907-0123,전라북도 전주시 덕진구 동부대로 803  3-4층 (호성동1가)
193,전일한방병원,063-714-4222,전라북도 전주시 완산구 장승배기로 228  (평화동1가)
194,전주수한방병원,063-247-9999,전라북도 전주시 덕진구 안덕원로 378 (산정동)
195,준한방병원,063-715-1234,전라북도 전주시 완산구 서원로 325-0 (중화산동1가)
196,중경한방병원,063-232-2626,전라북도 전주시 완산구 장승배기로 166 (평화동1가)
197,지리산한방병원,063-279-0900,"전라북도 전주시 완산구 서신로 62 301호 (서신동, 지리산빌딩)"
198,청담한방병원,063-272-8778,전라북도 전주시 덕진구 팔달로 377-0  (금암동)
199,청아람한방병원,063-714-4800,전라북도 전주시 완산구 효자로 174 (효자동2가)
200,하나한방병원,063-852-0100,전라북도 익산시 인북로 152 2층 (남중동)
201,효천한방병원,063-274-0365,전라북도 전주시 완산구 쑥고개로 331-0  (효자동2가)
202,미르치과병원,063-224-7700,전라북도 전주시 완산구 백제대로 218 (중화산동2가)
203,원광대학교치과대학부속치과병원,063-859-2905,전라북도 익산시 무왕로 895 (신동)
204,전북대학교치과병원,063-250-2203,"전라북도 전주시 덕진구 건지로 20 (치과병원동,장애인구강진료센터)동 (금암동, 전북대학교병원)"
